query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
how much protein can you absorb in one meal,1000,0,dfs,3,5,,spoke,,,,,,backlog
lipoprotein test,1000,7,dfs,3,6,,commercial,,,,,,backlog
coming off the contraceptive pill,1000,15,dfs,3,4,,spoke,,,,,,backlog
coming off the contraceptive pill side effects,1000,6,dfs,3,5,,spoke,,,,,,backlog
ggt test,1000,10,dfs,3,6,H,commercial,,,,,,backlog
eggs for iron,1000,12,dfs,3,4,,spoke,,,,,,backlog
gamma glutamyl transferase test,1000,5,dfs,3,6,,commercial,,,,,,backlog
gamma gt test,1000,3,dfs,3,6,,commercial,,,,,,backlog
normal range of alkaline phosphatase,1000,0,dfs,3,5,H,spoke,,,,,,backlog
evorel sequi patches reviews,1000,0,dfs,3,5,,spoke,,,,,,backlog
urea level,1000,6,dfs,3,5,,spoke,,,,,,backlog
what is luteinising hormone,1000,13,dfs,3,4,,spoke,,,,,,backlog
energy increasing food,1000,11,dfs,3,4,B,spoke,,,,,,backlog
which foods contain b12,1000,16,dfs,3,4,D/B12,spoke,,,,,,backlog
food for energy boost,1000,16,dfs,3,4,B,spoke,,,,,,backlog
food for energy booster,1000,15,dfs,3,4,B,spoke,,,,,,backlog
lab test globulin,1000,5,dfs,3,6,,commercial,,,,,,backlog
blood film test,1000,0,dfs,3,6,,commercial,,,,,,backlog
hb test,1000,15,dfs,3,5,,commercial,,,,,,backlog
anti ccp blood test,1000,1,dfs,3,6,,commercial,,,,,,backlog
what is f b c,1000,7,dfs,3,5,,spoke,,,,,,backlog
haemoglobin levels uk,1000,7,dfs,3,5,D,spoke,,,,,,backlog
hb levels uk,1000,0,dfs,3,5,,spoke,,,,,,backlog
aids test home kit,1000,12,dfs,3,5,,commercial,,,,,,backlog
hiv test home testing kits,1000,22,dfs,3,4,,commercial,,,,,,backlog
home test kits hiv,1000,19,dfs,3,5,,commercial,,,,,,backlog
testosterone supplements uk,1000,2,dfs,3,5,lp-daily-stack,spoke,gate,,,,,csv
can i see my blood test results online nhs,1000,3,dfs,3,6,,commercial,,,,,,discovery
full blood count uk,1000,19,dfs,3,4,D,spoke,,,,,,discovery
brain fog supplements,1000,0,dfs,3,5,,spoke,,,,,,discovery
thyroid antibody lab test,1000,0,dfs,3,6,J,commercial,,,,,,discovery
creatine brain fog,1000,12,dfs,3,4,,spoke,,,,,,discovery
cortisol test uk,880,0,dfs,3,6,future-kit-cortisol,commercial,low,,,,,backlog+csv+backlog
testosterone check,880,5,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone free levels,880,4,dfs,3,5,C,spoke,gate,,,,,backlog
well man tests,880,0,dfs,3,5,,spoke,,,,,,backlog
blood testing private,880,0,dfs,3,6,,commercial,,,,,,backlog
how much protein your body can absorb,880,0,dfs,3,5,,spoke,,,,,,backlog
test for vitamins,880,0,dfs,3,6,,commercial,,,,,,backlog
testosterone at home test,880,0,dfs,3,6,C,commercial,gate,,,,,backlog
testosterone normal levels,880,19,dfs,3,4,C,spoke,gate,,,,,backlog
blood tests northwich,880,0,dfs,3,6,,commercial,,,,,,backlog
herpes test blood,880,5,dfs,3,6,,commercial,,,,,,backlog
gamma gt levels,880,1,dfs,3,5,,spoke,,,,,,backlog
gamma gt blood test meaning,880,6,dfs,3,5,,spoke,,,,,,backlog
what is gamma gt,880,10,dfs,3,5,,spoke,,,,,,backlog
apob test,880,12,dfs,3,5,pillar-I,commercial,low,,,,,backlog+csv
ggt blood test meaning,880,7,dfs,3,5,H,spoke,,,,,,backlog
ggt levels,880,14,dfs,3,4,H,spoke,,,,,,backlog
iron in steak,880,0,dfs,3,5,,spoke,,,,,,backlog
what is ggt,880,8,dfs,3,5,H,spoke,,,,,,backlog
hba1c what is normal range,880,14,dfs,3,4,I,spoke,,,,,,backlog
how to test cortisol levels at home,880,2,dfs,3,5,cortisol,spoke,,,,,,backlog
evorel 50 patches reviews,880,0,dfs,3,5,,spoke,,,,,,backlog
what is mean cell haemoglobin,880,13,dfs,3,4,D,spoke,,,,,,backlog
blood test total protein,880,23,dfs,3,4,,commercial,,,,,,backlog
what is normal hba1c by age nhs,880,1,dfs,3,5,I,spoke,,,,,,backlog
gamma glutamyl transferase levels,880,10,dfs,3,5,,spoke,,,,,,backlog
hiv home tests,880,19,dfs,3,4,,spoke,,,,,,backlog
protein test,880,23,dfs,3,4,,commercial,,,,,,backlog
home aids test,880,10,dfs,3,6,,commercial,,,,,,backlog
mchc meaning in blood test,880,0,dfs,3,5,D,spoke,,,,,,backlog
best supplements for energy,880,9,dfs,3,5,pillar-B,spoke,medium,,,,,csv
what infections cause high crp,880,9,dfs,3,5,pillar-D,spoke,medium,,,published,,csv
fasting glucose test,880,23,dfs,3,4,pillar-I,commercial,low,,,,,csv
why am i always tired and cold,880,19,dfs,3,4,B,spoke,,,,,,discovery
